emotion_tag,appearances,Valence,Arousal,Dominance,Quadrant
sexy,8103,0.865,0.945,0.802,Q1
fun,7279,0.918,0.843,0.667,Q1
happy,6621,1.0,0.735,0.772,Q1
party,6515,0.948,0.84,0.547,Q1
romantic,5334,0.936,0.531,0.598,Q1
energetic,3476,0.847,0.868,0.902,Q1
funny,2156,0.918,0.61,0.566,Q1
intense,1785,0.592,0.774,0.679,Q1
playful,634,0.892,0.688,0.463,Q1
humor,543,0.89,0.633,0.462,Q1
cheerful,480,0.99,0.72,0.696,Q1
happiness,466,0.96,0.732,0.85,Q1
passionate,410,0.99,0.827,0.731,Q1
joyful,296,0.99,0.74,0.667,Q1
bright,241,0.89,0.527,0.812,Q1
tender,218,0.63,0.52,0.509,Q1
passion,189,0.854,0.865,0.728,Q1
lively,156,0.847,0.81,0.642,Q1
humorous,155,0.906,0.616,0.665,Q1
exciting,154,0.95,0.792,0.789,Q1
thrill,103,0.888,0.837,0.711,Q1
fight,68,0.531,0.868,0.809,Q1
joyous,66,0.958,0.58,0.728,Q1
desire,59,0.896,0.692,0.647,Q1
glad,56,0.938,0.76,0.74,Q1
rollicking,53,0.878,0.806,0.552,Q1
cheer,49,0.938,0.784,0.845,Q1
intensive,47,0.57,0.842,0.776,Q1
peppy,45,0.677,0.529,0.438,Q1
exhilarating,45,0.917,0.823,0.81,Q1
merry,39,0.979,0.731,0.764,Q1
thrilling,34,0.93,0.827,0.782,Q1
jolly,31,0.959,0.705,0.708,Q1
celebratory,21,0.857,0.653,0.845,Q1
gleeful,20,0.906,0.806,0.679,Q1
festive,19,0.854,0.74,0.764,Q1
excited,16,0.908,0.931,0.709,Q1
crusty,15,0.625,0.531,0.473,Q1
enthusiastic,10,0.885,0.868,0.848,Q1
celebrate,8,0.917,0.857,0.859,Q1
excitement,7,0.896,0.684,0.731,Q1
excite,4,0.823,0.95,0.668,Q1
cheering,4,0.815,0.824,0.642,Q1
vigorous,4,0.857,0.77,0.897,Q1
ebullient,3,0.659,0.856,0.746,Q1
animated,3,0.823,0.676,0.538,Q1
zest,2,0.917,0.769,0.845,Q1
vigor,2,0.86,0.755,0.811,Q1
bittersweet,1637,0.469,0.569,0.474,Q2
angry,1587,0.122,0.83,0.604,Q2
aggressive,1061,0.125,0.949,0.648,Q2
depressing,921,0.146,0.559,0.216,Q2
heartbreak,914,0.208,0.61,0.245,Q2
heartbreaking,662,0.146,0.811,0.423,Q2
angst,530,0.167,0.888,0.333,Q2
eerie,433,0.265,0.771,0.442,Q2
moving,431,0.479,0.673,0.358,Q2
bitter,327,0.218,0.627,0.411,Q2
fierce,326,0.281,0.877,0.759,Q2
spooky,267,0.104,0.858,0.38,Q2
rage,242,0.082,0.888,0.658,Q2
anger,237,0.167,0.865,0.657,Q2
cry,226,0.133,0.627,0.255,Q2
heartbroken,166,0.082,0.551,0.235,Q2
apocalyptic,141,0.173,0.88,0.75,Q2
annoying,105,0.082,0.853,0.348,Q2
tragic,91,0.048,0.904,0.396,Q2
desperate,91,0.083,0.842,0.337,Q2
rebellious,90,0.344,0.88,0.663,Q2
paranoid,76,0.122,0.918,0.364,Q2
harsh,72,0.25,0.65,0.623,Q2
crying,71,0.153,0.704,0.208,Q2
fear,69,0.073,0.84,0.293,Q2
rough,68,0.406,0.794,0.632,Q2
aggression,65,0.094,0.929,0.533,Q2
mad,64,0.219,0.873,0.277,Q2
rebel,54,0.235,0.83,0.555,Q2
furious,39,0.062,0.953,0.598,Q2
grief,37,0.07,0.64,0.474,Q2
